@relation 'Master-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7'

@attribute short_name {PHO,DAL,BOS,SAC,CLE,MIL,DET,CHI,DEN,WSB,HOU,UTA,NYK,ATL,GSW,MIN,IND,SAS,MIA,LAL,ORL,POR,CHH,LAC,PHI,NJN,SEA,VAN,TOR,WAS,MEM,NOH,NOK,OKC,BRK,NOP,CHA,CHO}
@attribute predicting_year numeric
@attribute PER numeric
@attribute continuity numeric
@attribute product numeric
@attribute num_wins numeric

@data
PHO,1992,254.1,0.861875,219.002438,53
PHO,1993,191.3,0.560732,107.267976,62
PHO,1994,193.1,0.790178,152.583342,56
PHO,1995,206.4,0.692602,142.952976,59
PHO,1996,219.1,0.708918,155.323864,41
PHO,1997,217.1,0.418171,90.784866,40
PHO,1998,159.8,0.536707,85.765829,56
PHO,2000,224.7,0.393557,88.432238,53
PHO,2001,217,0.661702,143.589385,51
PHO,2002,144.9,0.287515,41.660959,36
PHO,2003,137.8,0.6519,89.831876,44
PHO,2004,160.6,0.522612,83.931453,29
PHO,2005,107.7,0.593003,63.866428,62
PHO,2006,168.8,0.492541,83.140862,54
PHO,2007,190.6,0.867048,165.259304,61
PHO,2008,184.9,0.674065,124.634626,55
PHO,2009,156.5,0.515366,80.654756,46
PHO,2010,157,0.557297,87.495589,54
PHO,2011,183,0.520869,95.319009,40
PHO,2013,184.7,0.343511,63.446515,25
PHO,2014,162,0.32155,52.091067,48
PHO,2015,201.9,0.563293,113.728793,39
PHO,2016,109.3,0.399207,43.63336,23
PHO,2017,191.5,0.549817,105.289969,24
PHO,2018,208.4,0.668196,139.252075,21
DAL,1992,211.7,0.693704,146.857194,22
DAL,1993,167.5,0.536738,89.903582,11
DAL,1994,183.1,0.493323,90.327473,13
DAL,1995,162.2,0.574284,93.14879,36
DAL,1996,161.7,0.818262,132.312997,26
DAL,1997,165.3,0,0,24
DAL,1998,59.5,0.069146,4.114207,20
DAL,2000,177.6,0.493516,87.648488,40
DAL,2001,183.6,0.561753,103.13786,53
DAL,2002,155.2,0.622327,96.585187,57
DAL,2003,154.1,0.623577,96.093252,60
DAL,2004,215,0.574914,123.606428,52
DAL,2005,199.9,0.462358,92.425309,58
DAL,2006,150.1,0.698364,104.82441,60
DAL,2007,212.5,0.725722,154.215828,67
DAL,2008,190.8,0.667124,127.287256,51
DAL,2009,135.6,0.71747,97.288866,50
DAL,2010,176.1,0.603394,106.257738,55
DAL,2011,138.8,0.665036,92.306937,57
DAL,2013,189,0.393704,74.410107,41
DAL,2014,221.7,0.442861,98.182233,49
DAL,2015,216.4,0.336626,72.84587,50
DAL,2016,183.7,0.430569,79.095545,42
DAL,2017,207.6,0.474751,98.558311,33
DAL,2018,167.5,0.578166,96.842746,24
BOS,1992,211.5,0.837871,177.209703,51
BOS,1993,185.3,0.829451,153.697311,48
BOS,1994,205.6,0.626357,128.778939,32
BOS,1995,190.8,0.673933,128.586402,35
BOS,1996,192.1,0.594497,114.202864,33
BOS,1997,150.6,0.775671,116.816012,15
BOS,1998,197.5,0.220965,43.640676,36
BOS,2000,154.6,0.362083,55.978083,35
BOS,2001,175.2,0.796092,139.475402,36
BOS,2002,180,0.745086,134.115549,49
BOS,2003,144.7,0.570823,82.598113,44
BOS,2004,129.9,0.256524,33.322518,36
BOS,2005,147.5,0.368232,54.314177,45
BOS,2006,162.5,0.433272,70.406758,33
BOS,2007,152,0.587718,89.333211,24
BOS,2008,198.2,0.391169,77.529636,66
BOS,2009,190.4,0.876128,166.814781,62
BOS,2010,200.7,0.792698,159.094523,50
BOS,2011,165.8,0.616377,102.195312,56
BOS,2013,183.5,0.488679,89.672571,41
