,short_name,long_name,predicting_year,PER,continuity,product,num_wins,predicted_wins,error,absError
0,PHO,Phoenix Suns,1992,254.1,0.861875,219.0024375,53,57,-4,4
1,DAL,Dallas Mavericks,1992,211.7,0.693704268,146.8571936,22,47,-25,25
2,BOS,Boston Celtics,1992,211.5,0.837870935,177.2097027,51,51,0,0
3,SAC,Sacramento Kings,1992,204.0,0.404456301,82.50908537,29,38,-9,9
4,CLE,Cleveland Cavaliers,1992,194.3,0.689822154,134.0324446,57,45,12,12
5,MIL,Milwaukee Bucks,1992,192.1,0.757469512,145.5098933,31,47,-16,16
6,DET,Detroit Pistons,1992,186.0,0.739207317,137.492561,48,46,2,2
7,CHI,Chicago Bulls,1992,182.6,0.966946138,176.5643648,67,51,16,16
8,DEN,Denver Nuggets,1992,179.5,0.317560976,57.00219512,24,34,-10,10
9,WSB,Washington Bullets,1992,178.9,0.55745935,99.72947764,25,40,-15,15
10,HOU,Houston Rockets,1992,177.2,0.863252033,152.9682602,42,48,-6,6
11,UTA,Utah Jazz,1992,176.6,0.779212398,137.6089096,55,46,9,9
12,NYK,New York Knicks,1992,175.8,0.670365854,117.8503171,51,43,8,8
13,ATL,Atlanta Hawks,1992,175.4,0.469014228,82.26509553,38,38,0,0
14,GSW,Golden State Warriors,1992,173.3,0.74066565,128.3573572,55,45,10,10
15,MIN,Minnesota Timberwolves,1992,173.2,0.825955285,143.0554553,15,47,-32,32
16,IND,Indiana Pacers,1992,173.1,0.936148374,162.0472835,40,49,-9,9
17,SAS,San Antonio Spurs,1992,173.0,0.802073171,138.7586585,47,46,1,1
18,MIA,Miami Heat,1992,170.2,0.742860772,126.4349035,38,44,-6,6
19,LAL,Los Angeles Lakers,1992,169.1,0.772454268,130.6220168,43,45,-2,2
20,ORL,Orlando Magic,1992,163.2,0.935066057,152.6027805,21,48,-27,27
21,POR,Portland Trail Blazers,1992,161.8,0.936875,151.586375,57,48,9,9
22,CHH,Charlotte Hornets,1992,157.3,0.622662602,97.94482724,31,40,-9,9
