short_name,long_name,predicting_year,PER,last_year_wins,continuity,avg_age,.6061 * wins,11.3776 * continuity, -0.4617 * avg_age,,pred_wins,num_wins,error,Label
PHO,Phoenix Suns,1992,254.1,55,0.861875,26.69230769,33.3355,9.80572425,-12.32383846,21.7312,53,53,0,PHO1992
DAL,Dallas Mavericks,1992,211.7,28,0.693704268,29.64285714,16.9708,7.892412201,-13.68610714,21.7312,33,22,11,DAL1992
BOS,Boston Celtics,1992,211.5,56,0.837870935,27.46666667,33.9416,9.532625201,-12.68136,21.7312,53,51,2,BOS1992
SAC,Sacramento Kings,1992,204,25,0.404456301,25.94117647,15.1525,4.601580226,-11.97704118,21.7312,30,29,1,SAC1992
CLE,Cleveland Cavaliers,1992,194.3,33,0.689822154,25.6,20.0013,7.848244616,-11.81952,21.7312,38,57,19,CLE1992
MIL,Milwaukee Bucks,1992,192.1,48,0.757469512,28.16666667,29.0928,8.617882134,-13.00455,21.7312,46,31,15,MIL1992
DET,Detroit Pistons,1992,186,50,0.739207317,30.64285714,30.305,8.410109488,-14.14780714,21.7312,46,48,2,DET1992
CHI,Chicago Bulls,1992,182.6,61,0.966946138,26.58333333,36.9721,11.0011396,-12.273525,21.7312,57,67,10,CHI1992
DEN,Denver Nuggets,1992,179.5,20,0.317560976,25.78571429,12.122,3.612954732,-11.90526429,21.7312,26,24,2,DEN1992
WSB,Washington Bullets,1992,178.9,30,0.55745935,25.92857143,18.183,6.342326512,-11.97122143,21.7312,34,25,9,WSB1992
HOU,Houston Rockets,1992,177.2,52,0.863252033,26.46153846,31.5172,9.821391024,-12.21729231,21.7312,51,42,9,HOU1992
UTA,Utah Jazz,1992,176.6,54,0.779212398,27.5,32.7294,8.865255299,-12.69675,21.7312,51,55,4,UTA1992
NYK,New York Knicks,1992,175.8,39,0.670365854,27.07142857,23.6379,7.62688639,-12.49887857,21.7312,40,51,11,NYK1992
ATL,Atlanta Hawks,1992,175.4,43,0.469014228,27.69230769,26.0623,5.336068671,-12.78553846,21.7312,40,38,2,ATL1992
GSW,Golden State Warriors,1992,173.3,44,0.74066565,26.86666667,26.6684,8.426701238,-12.40434,21.7312,44,55,11,GSW1992
MIN,Minnesota Timberwolves,1992,173.2,29,0.825955285,26,17.5769,9.397058463,-12.0042,21.7312,37,15,22,MIN1992
IND,Indiana Pacers,1992,173.1,41,0.936148374,26.92307692,24.8501,10.65074728,-12.43038462,21.7312,45,40,5,IND1992
SAS,San Antonio Spurs,1992,173,55,0.802073171,26.07142857,33.3355,9.125346878,-12.03717857,21.7312,52,47,5,SAS1992
MIA,Miami Heat,1992,170.2,24,0.742860772,24.35714286,14.5464,8.451675579,-11.24569286,21.7312,33,38,5,MIA1992
LAL,Los Angeles Lakers,1992,169.1,58,0.772454268,27.83333333,35.1538,8.788366701,-12.85065,21.7312,53,43,10,LAL1992
ORL,Orlando Magic,1992,163.2,31,0.935066057,26.38461538,18.7891,10.63843354,-12.18177692,21.7312,39,21,18,ORL1992
POR,Portland Trail Blazers,1992,161.8,63,0.936875,27.54545455,38.1843,10.65901425,-12.71773636,21.7312,58,57,1,POR1992
CHH,Charlotte Hornets,1992,157.3,26,0.622662602,25.53846154,15.7586,7.084156951,-11.79110769,21.7312,33,31,2,CHH1992
LAC,Los Angeles Clippers,1992,154.5,31,0.654496951,24.84615385,18.7891,7.446342713,-11.47146923,21.7312,36,45,9,LAC1992
PHI,Philadelphia 76ers,1992,153.4,44,0.576814024,27.53846154,26.6684,6.562528518,-12.71450769,21.7312,42,35,7,PHI1992
NJN,New Jersey Nets,1992,148.6,26,0.600218496,25.66666667,15.7586,6.828805872,-11.8503,21.7312,32,40,8,NJN1992
SEA,Seattle SuperSonics,1992,143.1,41,0.600436992,26.5,24.8501,6.831291744,-12.23505,21.7312,41,47,6,SEA1992
ATL,Atlanta Hawks,1993,212.2,38,0.710518293,26.71428571,23.0318,8.08370872,-12.33398571,21.7312,41,43,2,ATL1993
SAS,San Antonio Spurs,1993,208.3,47,0.588328252,27.78571429,28.4867,6.693528189,-12.82866429,21.7312,44,49,5,SAS1993
GSW,Golden State Warriors,1993,201.2,55,0.784817073,26.5625,33.3355,8.929020805,-12.26390625,21.7312,52,34,18,GSW1993
PHO,Phoenix Suns,1993,191.3,53,0.560731707,27.23076923,32.1233,6.37955678,-12.57244615,21.7312,48,62,14,PHO1993
BOS,Boston Celtics,1993,185.3,51,0.82945122,29,30.9111,9.436832415,-13.3893,21.7312,49,48,1,BOS1993
ORL,Orlando Magic,1993,182.2,21,0.676620935,26.35714286,12.7281,7.698051701,-12.16909286,21.7312,30,41,11,ORL1993
CLE,Cleveland Cavaliers,1993,181.5,57,0.831158537,26.25,34.5477,9.456256902,-12.119625,21.7312,54,54,0,CLE1993
WSB,Washington Bullets,1993,178.7,25,0.609237805,26.33333333,15.1525,6.931420354,-12.1581,21.7312,32,22,10,WSB1993
POR,Portland Trail Blazers,1993,177,57,0.800934959,27.61538462,34.5477,9.11239722,-12.75002308,21.7312,53,51,2,POR1993
MIL,Milwaukee Bucks,1993,176.7,31,0.38675813,29.38461538,18.7891,4.400224598,-13.56687692,21.7312,31,28,3,MIL1993
SEA,Seattle SuperSonics,1993,174.7,47,0.853333333,26.61538462,28.4867,9.708544,-12.28832308,21.7312,48,55,7,SEA1993
IND,Indiana Pacers,1993,172,40,0.713831301,26.23076923,24.244,8.121401476,-12.11074615,21.7312,42,41,1,IND1993
LAL,Los Angeles Lakers,1993,167.5,43,0.733455285,27,26.0623,8.344667463,-12.4659,21.7312,44,39,5,LAL1993
DAL,Dallas Mavericks,1993,167.5,22,0.536737805,27.35714286,13.3342,6.106573354,-12.63079286,21.7312,29,11,18,DAL1993
