@relation lockout_fixed_with_age_postsub

@attribute ﻿PER numeric
@attribute last_year_wins numeric
@attribute continuity numeric
@attribute avg_age numeric
@attribute num_wins numeric

@data
202.5,28,0.488537,25,52
192.8,43,0.501651,27.933333,22
154.9,43,0.421306,27,24
182.2,55,0.66532,26.230769,65
184.1,31,0.571032,25.5,47
172.9,34,0.494599,27,48
167.5,33,0.578166,27.0625,24
158.5,41,0.363598,25.538462,27
208.4,24,0.668196,25.352941,21
202.2,51,0.589761,24.571429,59
221.8,53,0.366108,25.266667,55
193.8,42,0.369533,27,48
151.3,29,0.558023,25.5,25
223.9,61,0.777907,28.75,47
185.1,49,0.864151,25.714286,43
182.6,26,0.330203,26,35
227.3,40,0.631235,25.533333,46
192.4,51,0.515264,29.928571,50
191,31,0.493257,26.857143,29
173.2,32,0.263059,26.384615,27
163.1,41,0.723633,24.384615,49
170.7,36,0.762927,25.5,36
167,47,0.46593,25.666667,48
217.3,51,0.412881,26.2,48
231.5,67,0.896377,27.6,58
177.3,20,0.406321,26.642857,28
195.9,37,0.493399,25.466667,39
202.2,51,0.276123,29.533333,42
193.9,42,0.810564,25.933333,44
181.9,41,0.859853,26.714286,44
205.8,41,0.501839,26.733333,55
209.8,48,0.644441,25.571429,36
177.3,41,0.492988,27.785714,49
157.7,35,0.542846,24.153846,29
183.5,40,0.758836,24.533333,51
178.5,44,0.735056,25.928571,37
177.7,10,0.386728,24,28
226.2,73,0.624527,26.857143,67
207.6,42,0.474751,29.357143,33
191.5,23,0.549817,25.571429,24
169.7,29,0.819258,25.857143,31
236,67,0.688455,30.928571,61
205.6,48,0.752104,24,53
171.4,44,0.797988,24.214286,41
207.3,21,0.156245,25.466667,20
184,33,0.627967,24.2,42
193.8,42,0.519477,28.428571,43
191.6,33,0.454065,26.4,32
189.6,42,0.28159,27.142857,41
210.5,32,0.384329,26.8,31
208.1,45,0.617983,25.714286,42
202.8,30,0.406723,26.9375,34
182.1,48,0.563089,27,43
176.7,48,0.484944,28.333333,41
203.4,56,0.675249,25.133333,51
197.8,53,0.81534,29.071429,51
186.8,55,0.496667,26.5,47
173.4,33,0.765147,25.076923,40
188.9,57,0.740899,29,51
181.7,17,0.576504,27.066667,26
224.8,55,0.720894,28.933333,67
190.1,45,0.800351,26,30
119.1,18,0.422256,24,10
183.8,38,0.382795,27.333333,21
109.3,39,0.399207,25.363636,23
231.9,67,0.91998,26.733333,73
182.9,33,0.468633,25.642857,48
190.9,37,0.456311,27.9375,48
172.3,45,0.598953,25.454545,55
136.4,32,0.37654,26.7,44
153.4,56,0.686499,26.916667,41
194.8,21,0.307967,26.058824,17
194.6,49,0.623709,25.933333,56
163.7,53,0.634924,28.076923,57
155.4,17,0.243994,26.416667,32
173.6,41,0.541977,25.538462,33
212.2,38,0.496895,27.8,45
179.4,50,0.922454,28.285714,42
130.8,40,0.586707,24.3,48
213,60,0.751758,27.357143,48
211.4,55,0.518867,27.928571,42
209.7,16,0.479421,25.25,29
211.8,56,0.622266,28.588235,53
188.5,38,0.785915,23.8,40
182.4,25,0.589202,24.933333,35
170.1,46,0.624883,28.266667,41
183.7,50,0.430569,29.583333,42
147.7,30,0.334944,24.75,33
268.2,29,0.511895,25.5,33
187.1,51,0.347043,26.769231,44
198.9,40,0.487612,26.071429,16
203.4,37,0.327134,28.2,17
202,38,0.866712,26.4,60
143.2,33,0.414903,24.142857,53
159.9,51,0.858252,26.333333,67
209.8,15,0.556133,24.142857,41
161.7,56,0.758786,27.75,38
161.6,56,0,25.846154,33
212.8,27,0.459273,27.25,21
336.2,54,0.475635,30.6,37
188.6,50,0.587363,27.230769,55
163.7,36,0.601087,25.333333,30
160.6,25,0.513582,25.285714,40
229.1,34,0.569776,25.388889,45
216.4,49,0.336626,28.2,50
210.1,54,0.5606,25.133333,56
179.3,25,0.564024,25.875,38
