PER,last_year_wins,continuity,avg_age,num_wins
202.5,28,0.488536585,25,52
192.8,43,0.501651423,27.93333333,22
154.9,43,0.421305894,27,24
182.2,55,0.665320122,26.23076923,65
184.1,31,0.571031504,25.5,47
172.9,34,0.494598577,27,48
167.5,33,0.57816565,27.0625,24
158.5,41,0.363597561,25.53846154,27
208.4,24,0.668196138,25.35294118,21
202.2,51,0.589761179,24.57142857,59
221.8,53,0.366107724,25.26666667,55
193.8,42,0.36953252,27,48
151.3,29,0.558023374,25.5,25
223.9,61,0.777906504,28.75,47
185.1,49,0.864151423,25.71428571,43
182.6,26,0.330203252,26,35
227.3,40,0.631234756,25.53333333,46
192.4,51,0.515264228,29.92857143,50
191,31,0.493257114,26.85714286,29
173.2,32,0.263058943,26.38461538,27
163.1,41,0.72363313,24.38461538,49
170.7,36,0.762926829,25.5,36
167,47,0.465929878,25.66666667,48
217.3,51,0.412881098,26.2,48
231.5,67,0.896377033,27.6,58
177.3,20,0.406321138,26.64285714,28
195.9,37,0.49339939,25.46666667,39
202.2,51,0.276122967,29.53333333,42
193.9,42,0.810564024,25.93333333,44
181.9,41,0.859852642,26.71428571,44
205.8,41,0.501839431,26.73333333,55
209.8,48,0.644441057,25.57142857,36
177.3,41,0.492987805,27.78571429,49
157.7,35,0.542845528,24.15384615,29
183.5,40,0.758836382,24.53333333,51
178.5,44,0.735055894,25.92857143,37
177.7,10,0.386727642,24,28
226.2,73,0.624527439,26.85714286,67
207.6,42,0.474751016,29.35714286,33
191.5,23,0.549817073,25.57142857,24
169.7,29,0.81925813,25.85714286,31
236,67,0.688455285,30.92857143,61
205.6,48,0.752103659,24,53
171.4,44,0.797987805,24.21428571,41
207.3,21,0.156244919,25.46666667,20
184,33,0.62796748,24.2,42
193.8,42,0.519476626,28.42857143,43
191.6,33,0.454065041,26.4,32
189.6,42,0.281590447,27.14285714,41
210.5,32,0.384329268,26.8,31
208.1,45,0.617982724,25.71428571,42
202.8,30,0.406722561,26.9375,34
182.1,48,0.563089431,27,43
176.7,48,0.484944106,28.33333333,41
203.4,56,0.675248984,25.13333333,51
197.8,53,0.815340447,29.07142857,51
186.8,55,0.496666667,26.5,47
173.4,33,0.765147358,25.07692308,40
188.9,57,0.74089939,29,51
181.7,17,0.576504065,27.06666667,26
224.8,55,0.720894309,28.93333333,67
190.1,45,0.80035061,26,30
119.1,18,0.422256098,24,10
183.8,38,0.382794715,27.33333333,21
109.3,39,0.399207317,25.36363636,23
231.9,67,0.919979675,26.73333333,73
182.9,33,0.46863313,25.64285714,48
190.9,37,0.456310976,27.9375,48
172.3,45,0.598953252,25.45454545,55
136.4,32,0.376539634,26.7,44
153.4,56,0.686498984,26.91666667,41
194.8,21,0.30796748,26.05882353,17
194.6,49,0.62370935,25.93333333,56
163.7,53,0.63492378,28.07692308,57
155.4,17,0.243993902,26.41666667,32
173.6,41,0.541976626,25.53846154,33
212.2,38,0.496895325,27.8,45
179.4,50,0.922454268,28.28571429,42
130.8,40,0.586707317,24.3,48
213,60,0.75175813,27.35714286,48
211.4,55,0.51886687,27.92857143,42
209.7,16,0.479420732,25.25,29
211.8,56,0.62226626,28.58823529,53
188.5,38,0.785914634,23.8,40
182.4,25,0.589202236,24.93333333,35
170.1,46,0.62488313,28.26666667,41
183.7,50,0.430569106,29.58333333,42
147.7,30,0.334944106,24.75,33
268.2,29,0.511895325,25.5,33
187.1,51,0.347042683,26.76923077,44
198.9,40,0.487611789,26.07142857,16
203.4,37,0.327134146,28.2,17
202,38,0.866712398,26.4,60
143.2,33,0.414903455,24.14285714,53
159.9,51,0.858252033,26.33333333,67
209.8,15,0.55613313,24.14285714,41
161.7,56,0.758785569,27.75,38
161.6,56,0,25.84615385,33
212.8,27,0.459273374,27.25,21
336.2,54,0.475635163,30.6,37
188.6,50,0.587362805,27.23076923,55
163.7,36,0.601087398,25.33333333,30
160.6,25,0.513582317,25.28571429,40
229.1,34,0.569776423,25.38888889,45
216.4,49,0.336626016,28.2,50
210.1,54,0.560599593,25.13333333,56
179.3,25,0.56402439,25.875,38
165.7,59,0.632433943,26.88235294,45
97,19,0.178058943,23,18
204.7,57,0.665934959,29.125,56
201.9,48,0.563292683,25.86666667,39
157.1,23,0.53140752,25.07692308,25
116.8,48,0.740513211,29.27272727,50
202.7,44,0.531829268,29.8,38
91.3,28,0.387525407,24.88888889,29
208.6,62,0.97273374,28.42857143,55
180.1,44,0.7075,26.21428571,46
129.7,48,0.703368902,25.2,49
196.6,29,0.488714431,25.6,32
189.2,54,0.843236789,25.4,51
161,38,0.309613821,27.58333333,15
162,25,0.321549797,26.38461538,48
190.3,43,0.471122967,26,25
155.7,33,0.739715447,25,54
229.1,57,0.427652439,24.73333333,36
176.9,41,0.418424797,27.6875,25
169.6,45,0.437662602,28.25,27
170.1,34,0.161082317,26.30769231,19
161.5,34,0.564623984,25.69230769,48
221.7,41,0.442860772,28.05,49
221.5,54,0.660853659,31.58823529,37
220.9,58,0.785426829,27.86666667,62
165.6,29,0.679329268,25.15384615,44
182.8,49,0.706072154,25.73333333,56
142.1,45,0.685228659,23.81818182,54
195.7,56,0.664827236,29.71428571,57
214.7,31,0.525177846,26.55555556,40
152.2,45,0.559837398,28.41666667,48
136.4,20,0.629273374,25.45454545,23
175.3,29,0.589674797,25.15384615,29
169,47,0.646626016,25.69230769,51
211,66,0.928572154,30.86666667,54
184.3,44,0.51015752,26.84615385,38
190.4,60,0.834740854,24.76923077,59
147.3,28,0.363058943,25.36363636,28
160.2,24,0.671265244,24.84615385,33
136.5,56,0.585416667,25.54545455,50
195.6,49,0.508526423,27.75,44
186.3,61,0.404502033,27.46153846,19
117.3,41,0.490630081,26.72727273,62
202.5,40,0.490416667,25.64285714,22
159.2,47,0.455574187,27,58
116.7,29,0.055203252,25.77777778,42
202.2,50,0.782210366,27.69230769,61
155.8,37,0.357123984,28,46
165.8,50,0.616377033,28.75,56
188,53,0.448064024,24.92307692,39
183,54,0.520868902,27,40
159.3,25,0.591875,25.69230769,24
157,46,0.58117378,27.75,35
138.8,55,0.665035569,30.11111111,57
210.3,50,0.664283537,25.4375,55
184.6,53,0.785071138,26.57142857,44
156.9,27,0.675848577,24.81818182,41
196.3,26,0.360279472,25.69230769,36
157.2,15,0.276427846,24.69230769,17
182.5,27,0.825660569,26.85714286,30
164.7,26,0.236112805,27.27272727,23
156.3,12,0.15375,25.78571429,24
173.8,57,0.843465447,27.61538462,57
184.9,59,0.41015752,27.83333333,52
122.4,42,0.385376016,26.09090909,43
198.2,40,0.833470528,24.42857143,46
197.4,50,0.520223577,24.92307692,48
176.9,53,0.612820122,27.61538462,50
121.1,29,0.365995935,26.83333333,32
186.2,32,0.721463415,26.42857143,37
171.1,34,0.766636179,25.28571429,12
233,23,0.64476626,24.5,50
179.8,41,0.702184959,27.38461538,27
153.6,24,0.392093496,26.69230769,15
161.5,39,0.562489837,26.66666667,27
182.3,34,0.467311992,27.21428571,46
157,46,0.557296748,27.8,54
206.4,29,0.657566057,23.8,26
176.1,50,0.603394309,28.07692308,55
166.7,49,0.626732724,28.53846154,37
158.8,24,0.644095528,24.66666667,40
151.8,59,0.594832317,26.72727273,59
200.7,62,0.792698171,26.71428571,50
195.7,36,0.639009146,26.71428571,32
123.5,32,0.452057927,25.2,29
107.7,33,0.391646341,25.81818182,40
202.8,48,0.771448171,25.66666667,53
178.3,47,0.832520325,25.13333333,53
186.1,53,0.37488313,28.53846154,42
178.1,66,0.743643293,26.33333333,61
161.9,19,0.477860772,26.84615385,29
132.2,54,0.669247967,26.5,53
253.6,54,0.610137195,28.76470588,50
183.8,19,0.241046748,26.53846154,26
169.8,65,0.848328252,26.53846154,57
144.3,43,0.781575203,25.75,47
186.5,54,0.674918699,24.14285714,50
113.4,41,0.416986789,25.375,41
98.9,17,0.487550813,25.75,25
172.7,43,0.812322154,26.08333333,19
121.1,45,0.483775407,27.09090909,66
150.5,38,0.386102642,26.57142857,17
185.8,15,0.491686992,27.125,43
217.4,48,0.544588415,25.4375,29
180.7,59,0.728780488,27.16666667,39
175.7,52,0.582876016,27.15384615,59
171.4,57,0.728841463,25.90909091,65
171,41,0.811417683,24.25,54
170.6,50,0.533318089,28.07692308,54
204.9,41,0.619507114,27.21428571,33
191.5,23,0.362611789,27.9375,19
147.4,22,0.612154472,26,24
128.5,37,0.698658537,23.1,47
170.3,54,0.901890244,24.84615385,48
173,56,0.848424797,26.61538462,49
140.7,33,0.521864837,23.81818182,41
135.1,22,0.39640752,24.36363636,24
212.6,55,0.656824187,27.57142857,53
209.4,23,0.489364837,25.93333333,32
198.3,36,0.653109756,26.13333333,36
190.4,66,0.876128049,27.78571429,62
181,26,0.501270325,26.5,34
172.6,40,0.825436992,25.61538462,41
135.6,51,0.717469512,29.6,50
219.5,56,0.856732724,29.6,54
156.5,55,0.515365854,29,46
105.5,34,0.305127033,26.75,34
198.2,24,0.391168699,24.75,66
197.4,44,0.495746951,27.93333333,15
141.8,40,0.746285569,27.125,23
182.6,33,0.852652439,25.8,23
182.3,31,0.719054878,25.875,20
178.7,49,0.710909553,26,33
191.8,42,0.671316057,25.71428571,57
199,40,0.646382114,26,52
202.1,53,0.724603659,28,59
162.8,32,0.304400407,26.71428571,22
146.5,28,0.58120935,24.71428571,26
207.5,47,0.832652439,25.64285714,41
207.1,22,0.429105691,25.57142857,22
190.8,67,0.667123984,28.06666667,51
144.1,45,0.632743902,25.83333333,50
123.7,41,0.480050813,26.71428571,34
175.4,52,0.792566057,27.30769231,55
172.9,32,0.573069106,24.5,41
154.7,42,0.598724593,24,48
163.2,51,0.794126016,25.07142857,54
203.3,58,0.869227642,29.21428571,56
156.2,35,0.527977642,25.07692308,40
184.9,61,0.674065041,29.14285714,55
178.1,50,0.655528455,27.46666667,45
200.4,30,0.657347561,24.35294118,37
196,41,0.806534553,26.25,43
131.2,35,0.547662602,26.90909091,36
149.5,33,0.740025407,27.14285714,38
186.7,49,0.433577236,26.92857143,22
158.9,34,0.63867378,28.83333333,52
149.9,27,0.50245935,26.61538462,47
212.5,60,0.725721545,27.3125,67
152,33,0.587718496,23.91666667,24
177.1,40,0.46609248,27.28571429,28
159.4,44,0.714989837,26.45454545,33
190.6,54,0.867047764,27.07692308,61
186.8,41,0.696539634,25.13333333,51
168.9,47,0.869984756,27.26666667,40
133.5,35,0.663180894,25.63636364,31
189.8,52,0.935889228,27.375,44
178,41,0.729507114,25.625,49
171.6,26,0.838114837,23.07692308,30
142.3,49,0.789786585,28,41
187.7,34,0.495060976,24.6,42
183.9,45,0.822911585,24.75,42
123.4,33,0.604344512,26.1,32
179.6,42,0.867784553,26.21428571,41
171.1,38,0.537372967,25.64285714,35
154.2,21,0.394085366,23.58333333,32
114.2,44,0.469456301,27,45
206.4,63,0.793998984,29.4,58
183.4,41,0.370813008,27.28571429,35
177.9,64,0.742647358,27.53846154,53
165.3,36,0.656514228,27.30769231,40
164.9,23,0.70226626,25.85714286,33
173.7,50,0.891112805,26.69230769,50
169.4,38,0.486305894,25.23076923,39
180.8,52,0.581072154,26,35
153.9,54,0.893816057,28.07692308,64
231.4,33,0.349009146,26.38461538,23
202.1,27,0.489745935,25.86666667,21
142.6,51,0.461189024,30.25,34
202.6,59,0.816671748,28.4,63
197.3,34,0.501148374,26.2,45
186.6,37,0.53183435,26.1875,47
162.5,45,0.433272358,25,33
193.8,44,0.495609756,28.85714286,33
193.3,26,0.654441057,25.8125,41
186.7,42,0.519796748,26.6,49
169,33,0.44585874,26.25,27
176.3,42,0.710574187,26.42857143,50
154.1,30,0.520807927,27.91666667,40
150.1,58,0.698363821,26.66666667,60
172.5,47,0.777484756,26.06666667,41
198.8,45,0.582317073,25.66666667,49
176.7,49,0.912210366,27.66666667,44
135.3,43,0.636636179,25.90909091,38
