@relation 'Master-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,5-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute PER numeric
@attribute last_year_wins numeric
@attribute continuity numeric
@attribute num_wins numeric

@data
254.1,55,0.861875,53
211.7,28,0.693704,22
211.5,56,0.837871,51
204,25,0.404456,29
194.3,33,0.689822,57
192.1,48,0.75747,31
186,50,0.739207,48
182.6,61,0.966946,67
179.5,20,0.317561,24
178.9,30,0.557459,25
177.2,52,0.863252,42
176.6,54,0.779212,55
175.8,39,0.670366,51
175.4,43,0.469014,38
173.3,44,0.740666,55
173.2,29,0.825955,15
173.1,41,0.936148,40
173,55,0.802073,47
170.2,24,0.742861,38
169.1,58,0.772454,43
163.2,31,0.935066,21
161.8,63,0.936875,57
157.3,26,0.622663,31
154.5,31,0.654497,45
153.4,44,0.576814,35
148.6,26,0.600218,40
143.1,41,0.600437,47
212.2,38,0.710518,43
208.3,47,0.588328,49
201.2,55,0.784817,34
191.3,53,0.560732,62
185.3,51,0.829451,48
182.2,21,0.676621,41
181.5,57,0.831159,54
178.7,25,0.609238,22
177,57,0.800935,51
176.7,31,0.386758,28
174.7,47,0.853333,55
172,40,0.713831,41
167.5,43,0.733455,39
167.5,22,0.536738,11
167,40,0.778598,43
166.5,31,0.810732,44
164,45,0.599345,41
162.8,24,0.639329,36
162.6,48,0.672241,40
161.7,38,0.920508,36
160.7,15,0.254893,19
159.2,55,0.714314,47
157.8,67,0.883908,57
155.3,42,0.779868,55
148.6,35,0.713659,26
147.7,29,0.908105,25
125.3,51,0.573333,60
226.2,34,0.638323,50
209,43,0.422927,45
205.6,48,0.626357,32
200.2,54,0.807658,47
198.9,22,0.642322,24
193.1,57,0.663064,55
193.1,62,0.790178,56
189.3,26,0.323232,25
186.6,41,0.753806,47
185.3,28,0.571728,20
183.1,41,0.862769,50
183.1,11,0.493323,13
178.7,25,0.728598,28
177.2,41,0.673887,27
176,36,0.959045,42
172.3,47,0.64904,53
170.1,55,0.592571,63
168.4,49,0.590523,55
168.1,55,0.877419,58
167.7,60,0.956209,57
167.4,43,0.741225,57
166.2,51,0.801946,47
162.7,19,0.74373,20
162.6,39,0.644776,33
160.5,36,0.722973,42
154.7,44,0.746824,41
142.4,40,0.51529,20
238.9,63,0.858242,57
220.6,53,0.653252,60
208.1,47,0.849883,52
208,55,0.689751,62
206.4,56,0.692602,59
204.2,47,0.68747,43
196.3,33,0.795229,48
190.8,58,0.734411,47
190.8,32,0.673933,35
189.4,57,0.837342,55
188.3,24,0.597292,21
184.7,50,0.791926,57
184.2,27,0.458415,17
182.9,50,0.486133,26
182.6,20,0.460376,28
179.2,55,0.725366,47
178.6,47,0.814492,44
173,57,0.620285,42
172.9,45,0.890904,30
172.4,42,0.483293,32
172.3,41,0.800203,50
172,20,0.650605,21
162.2,13,0.574284,36
154.3,42,0.980234,41
145.2,25,0.522337,24
141,28,0.596194,39
137,20,0.505173,34
237,41,0.737739,35
225.4,57,0.934024,60
219.1,59,0.708918,41
217,26,0.314644,36
216,43,0.660889,47
209.2,48,0.826672,53
208.3,47,0.649619,72
196.7,17,0.743338,29
192.1,35,0.594497,33
189.8,52,0.775274,52
185.4,50,0.600264,41
185.1,21,0.55251,39
183.9,28,0.68935,46
180.3,24,0.294893,18
175.4,60,0.808659,55
173.5,57,0.799817,64
170.3,62,0.677962,59
170.1,34,0.61124,25
161.7,36,0.818262,26
160.3,44,0.700843,44
159.4,47,0.674685,48
159.1,55,0.720132,47
157.7,39,0.646479,39
151,21,0.254284,26
150.9,32,0.043445,42
150.6,42,0.430965,46
145.4,30,0.408486,30
304.6,39,0.535335,44
232.8,48,0.382815,57
217.1,41,0.418171,40
212.1,60,0.663298,45
196.1,53,0.412109,56
194.6,52,0.7156,39
192.6,47,0.686143,42
185.8,72,0.979111,69
183,64,0.787942,57
182.6,55,0.827734,64
169.1,29,0.855173,36
168.6,44,0.424527,49
165.3,26,0,24
163.1,35,0.509639,21
161.4,46,0.730849,54
160.1,41,0.429543,54
159.6,39,0.770701,34
159,46,0.40503,56
155.8,15,0.401296,14
152.7,59,0.734842,20
151.8,18,0.319243,22
150.6,33,0.775671,15
146.8,21,0.275747,30
145.9,36,0.554116,30
129.5,26,0.55841,40
120.5,30,0.182033,26
120.2,47,0.398338,57
113.2,25,0.470417,33
101.2,42,0.332983,61
215.6,69,0.882647,62
211.7,57,0.677876,61
209,61,0.678135,55
197.5,15,0.220965,36
197,57,0.852282,41
195,56,0.719909,61
190.3,36,0.618867,17
188.3,30,0.449893,16
188.2,22,0.447266,31
184,20,0.577043,56
178.3,49,0.367856,46
174.9,34,0.624456,27
172.4,45,0.641814,41
171.5,54,0.56468,37
166.2,42,0.314695,47
166.1,57,0.945569,43
162.4,39,0.746474,58
162.2,64,0.978232,62
162.2,56,0.81374,50
160.2,14,0.54312,19
159.8,40,0.536707,56
159.6,40,0.80125,45
145.5,54,0.634111,51
144.8,30,0.33092,19
139.1,21,0.192622,11
125.7,33,0.532967,36
121.4,26,0.467261,43
59.5,24,0.069146,20
210.2,50,0.70657,31
205,61,0.57501,31
202.2,61,0.719533,25
200,55,0.837805,33
197.8,41,0.559553,31
197.6,62,0.91907,37
196.6,36,0.606499,28
193.9,45,0.367327,25
192.3,62,0.319878,13
190.6,42,0.743018,18
186.3,43,0.562749,27
180.9,56,0.55437,27
180.8,56,0.685976,37
173.9,11,0.213933,14
170.9,47,0.882835,22
170.5,41,0.684985,33
164.9,20,0.698857,19
162.2,37,0.677942,29
160.3,17,0.796845,9
159.8,58,1.001514,33
154,27,0.247663,27
153.3,36,0.629619,19
153,31,0.180158,28
152.1,19,0.488999,8
149.4,43,0.552602,16
142.3,51,0.258867,26
